id,title,description,duration,price,teacher_id,cover_image_url,created_at,updated_at,vimeo_url,focus,equipment,card_bg_video,seo_title,seo_meta_description,is_featured,is_free
02d05363-4295-4fdf-93ec-61fc019b2455,Quick Fix For Growndhog Day,"Working from home, starting to feel like Groundhog Day? Or just been at the computer for hours on end? Get out of your head and into your body with this Asana based practice, demanding focus and strength.",30,,635a6b74-a5e3-4c10-a801-e46083dc4dbf,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/classes/Cover-37.jpg,2025-03-13 13:15:25.578848+00,2025-03-13 13:15:25.578848+00,https://player.vimeo.com/video/578496883,"Upper Body Strength, Chest, hip and shoulder Opening, Strengthens Core",,,Women's 20 min Yoga Class | Groundhog Day Quick Fix,Shake off the Groundhog Day feeling with this quick fix. Focus on strength and mindfulness to break out of the routine and reconnect with your body.,false,false
02f90217-60f6-4fa8-88d0-cfcb1fda8be2,Outer Thighs & Loop Band,Let's focus on the outer thighs and glutes med with some resistance work with the band to strengthen but also generally improve posture and stability.,30,,e47f3da7-00fe-47eb-ac53-3245adb5963f,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/classes/The-Fold-outer-thighs-with-the-loop-band-low.jpg,2025-03-13 13:15:30.59137+00,2025-03-13 13:15:30.59137+00,https://player.vimeo.com/video/917043542,"Strength, Mobility, Glutes",,,Outer Thighs & Loop Band - Pilates with Pascale,Focus on the outer thighs and glutes med with some resistance work with the band to strengthen and improve posture and stability.,false,false
03037474-4cef-4fe5-a094-9d5b7ede4025,Get Those Glutes,"Working with muscle overload and repetition through the Lower body, mainly the Glutes. While focusing on opening up and strengthening through the hips, all over body stabilization and a splash of obliques and cardio. Because, why not…? Expect to leave feeling energised, leaner, longer, stronger and well balanced.",20,,c8792748-d6ee-43ec-8328-2a348930c221,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/classes/Cover-get-those-glutes.jpg,2025-03-13 13:15:24.24289+00,2025-03-13 13:15:24.24289+00,https://player.vimeo.com/video/513989146,"Glute Strength, Hip Flexor Strength and Stretch",,,20min Women's Pilates Class | Get Those Glutes By Erin Brooks,"Focus on glute strength and hip mobility with Erin Brooks in this 20min women's Pilates class. Improve overall body stabilization, obliques, and cardio. Leave feeling energized and balanced.",false,false
0346b2d8-86f1-4d58-948c-f8c646162246,Flossing,"A feel good floss through through the body. Beginning with the triangle of tension that builds through the upper body and graduating into strength building static holds and one legged balances, adding in focus while maintains space in the upper body.",30,,635a6b74-a5e3-4c10-a801-e46083dc4dbf,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/classes/Cover-image-Flossing.jpg,2025-03-13 13:15:23.839941+00,2025-03-13 13:15:23.839941+00,https://player.vimeo.com/video/498822028,"Strength, Space, Dynamic",,,Women's Vinyasa Yoga Class | Flossing Flow by The Fold Online,"Join The Fold Online for a rejuvenating 30-minute Vinyasa yoga class designed to floss through your body, release tension, and build",false,false
03bfe1b1-066c-42c4-9b2c-2c923a80514e,In Awe Of The Moon,"Conjuring cooling, relaxing and creative qualities, a perfect class to follow in harmony with a New or Full moon, or anytime you prefer to slow down and deepen the practise. Sorry, no introduction here, we had a microphone mishap.",30,,635a6b74-a5e3-4c10-a801-e46083dc4dbf,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/classes/moon-salutations.jpg,2025-03-13 13:15:21.150757+00,2025-03-13 13:15:21.150757+00,https://player.vimeo.com/video/405375812,"Deep, Slow, Harmonising",,,In Awe Of The Moon | The Fold Online,"Women, experience In Awe Of The Moon by Thefold Online. Conjure cooling, relaxing, and creative qualities perfect for New or Full moons, or any time you wish to slow down and deepen your practice.",true,false
04f04762-e1c6-4d0f-b28d-c384f80bcd69,Flow To Let It Go,"A 40-minute practice for when you feel overwhelmed by life and thoughts. 
Let's narrow some of these 62,000 thoughts you have per day to only what is essential and important. 
Let's get close to the earth and work on what is anchoring our body down: legs and feet!",60,,fe15a6d2-1dba-4f4b-a603-b1f5cf7aed4d,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/classes/balancing-vata-Cover.jpg,2025-03-13 13:15:28.593134+00,2025-03-13 13:15:28.593134+00,https://player.vimeo.com/video/830405006,"Grounding, Legs, Flow",,https://thefold.s3.ap-southeast-2.amazonaws.com/Balancing-Vata-Vee-Cover.mp4,Flow To Let It Go ~ by Vee - The Fold,A 40 minutes Vinyasa practice for when you feel overwhelmed by life and thoughts. Let's narrow some of these 62 000 thoughts you have per day.,true,false
05225229-78b2-445c-beeb-c83f2fb5b0b6,Inversion School,"A Workshop/Drills style practise to assist you in getting upside down.Training for shoulder extension, core engagement and vertical lines repeating everything that needs to come together for headstand, handstand or forearm stand.To get upside down, this is where you begin, then repeat.",30,,635a6b74-a5e3-4c10-a801-e46083dc4dbf,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/classes/inversion-school.jpg,2025-03-13 13:15:22.152665+00,2025-03-13 13:15:22.152665+00,https://player.vimeo.com/video/419858669,"Core, Shoulder",,,Inversion School | The Fold Online,"Women, join Inversion School by The Fold Online. Train shoulder extension, core engagement, and vertical lines for headstand, handstand, or forearm stand.",false,false
065d9470-027b-49df-a298-c82250f78aef,Flow For Balance,"This short flow focuses on finding grounding in balancing postures. Both physically and mentally, balance isn't something that just magically happens. It required constant work and refining. <br />We will move slowly and focus on preparing the feet, legs and hips to find stability and steadiness as we move into Warrior 3 and embrace the wobbles as we go.",20,,7ef137dd-c914-4928-8ab8-cd9b3c93dc47,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/classes/flow-for-balance-Cover.jpg,2025-03-13 13:15:28.060384+00,2025-03-13 13:15:28.060384+00,https://player.vimeo.com/video/815509261,"Flow, Balance, Grounding",,,Flow For Balance - The Fold Online,Find balance in body and mind with Flow For Balance on The Fold Online. Embrace wobbles as you move through grounding postures.,false,false
06b5be3e-f8f1-41ce-8ad8-3ce5d767aed6,Ground Down,"Ground down in to the present moment with these passive and supportive poses, felt in the midline. In Japanese Meridian theory our Hara is located in the centre of the abdomen, it is the focal point of energy within the body where life can be given, sustained and taken away.",30,,635a6b74-a5e3-4c10-a801-e46083dc4dbf,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/classes/ground-down.jpg,2025-03-13 13:15:22.887747+00,2025-03-13 13:15:22.887747+00,https://player.vimeo.com/video/438894888,"Grounding, Support, Slow Down",,,30-Minute Yoga Class | Ground Down by The Fold Online,"Join this 30-min online yoga class, Ground Down. Focus on the present with passive, supportive poses centered on the Hara, your body's energy focal point in Japanese Meridian theory.",false,false
07ead655-6f94-4139-9106-ed1b8773588b,"Minus The Chatarunga, Add In The Legs And Core...Gimme More",Less Chatarunga you say? How about a slow and strong flow peppered with standing balances and stability.,40,,635a6b74-a5e3-4c10-a801-e46083dc4dbf,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/classes/Minus-the-Chatarunga.jpg,2025-03-13 13:15:20.853839+00,2025-03-13 13:15:20.853839+00,https://player.vimeo.com/video/402519269,"core, stabilisation, balance",,,"Minus the Chatarunga: Add Legs, Core, and Stability","Enjoy a slow, strong yoga flow with less Chatarunga, focusing on legs, core, and standing balances. Enhance your stability and strength in this balanced practice.",false,false
